datetime,ticks,open,high,low,close,volume,buy,sell,buy/sell
2016-08-01 9:33,475,1.11925,1.1199,1.1192,1.1197,1500,794.9999998,705.0000002,1.127659574
2016-08-01 11:38,376,1.1197,1.12085,1.1196,1.1208,1500,962,538,1.788104089
2016-08-01 12:20,332,1.1208,1.12145,1.12075,1.121,1500,837,663,1.262443439
2016-08-01 13:00,280,1.121,1.1214,1.1207,1.12135,1500,956,544,1.757352941
2016-08-01 13:58,290,1.12135,1.1222,1.12135,1.12215,1500,960.9999999,539.0000001,1.782931354
2016-08-01 14:17,396,1.12215,1.12275,1.122,1.12235,1500,833.9999999,666.0000001,1.252252252
2016-08-01 14:45,388,1.12235,1.12335,1.1223,1.1233,1500,959,541,1.772643253
2016-08-01 15:05,238,1.1233,1.12395,1.1233,1.12365,1500,801.0000001,698.9999999,1.145922747
2016-08-01 15:07,295,1.12365,1.12365,1.123,1.123,1500,524.9999997,975.0000003,0.538461538
2016-08-01 15:19,246,1.123,1.12405,1.12285,1.12405,1500,877,623,1.407704655
2016-08-01 15:31,164,1.12405,1.1243,1.1239,1.12425,1500,999,501,1.994011976
2016-08-01 15:33,186,1.12425,1.1248,1.1241,1.12465,1500,1018,482,2.112033195
2016-08-01 15:34,219,1.12465,1.1249,1.12435,1.1245,1500,802.9999999,697.0000001,1.152080344
2016-08-01 15:36,159,1.1245,1.1259,1.12445,1.1255,1500,1129,371,3.043126685
2016-08-01 15:36,280,1.1255,1.12605,1.1254,1.1259,1500,804.0000001,695.9999999,1.155172414
2016-08-01 15:37,290,1.1259,1.12625,1.12565,1.1257,1500,760.9999999,739.0000001,1.029769959
2016-08-01 15:39,327,1.1257,1.12615,1.1256,1.1258,1500,641.0000001,858.9999999,0.746216531
2016-08-01 15:42,288,1.1258,1.12635,1.12565,1.12575,1500,581.0000001,918.9999999,0.632208923
2016-08-01 15:47,259,1.12575,1.12625,1.1256,1.1256,1500,701.9999999,798.0000001,0.879699248
2016-08-01 15:53,258,1.1256,1.126,1.1255,1.1256,1500,653.9999998,846.0000002,0.773049645
2016-08-01 15:58,231,1.1256,1.1257,1.12515,1.12535,1500,562.0000003,937.9999997,0.599147122
2016-08-01 16:01,318,1.12535,1.1256,1.125,1.125,1500,532.9999999,967.0000001,0.551189245
2016-08-01 16:07,305,1.125,1.12525,1.1246,1.12465,1500,600.0000002,899.9999998,0.666666667
2016-08-01 16:14,344,1.12465,1.1254,1.12465,1.1254,1500,891,609,1.463054187
2016-08-01 16:23,215,1.1254,1.1259,1.1253,1.12585,1500,1075,425,2.529411765
2016-08-01 16:28,348,1.12585,1.1264,1.1256,1.1264,1500,955,545,1.752293578
2016-08-01 16:35,236,1.1264,1.12695,1.1264,1.12695,1500,942,558,1.688172043
2016-08-01 16:36,195,1.12695,1.1274,1.12685,1.1274,1500,1107,393,2.816793893
2016-08-01 16:37,229,1.1274,1.12785,1.12725,1.1275,1500,829.0000001,670.9999999,1.235469449
2016-08-01 16:38,270,1.1275,1.12785,1.1274,1.1274,1500,771.9999998,728.0000002,1.06043956
2016-08-01 16:42,350,1.1274,1.12775,1.1274,1.12775,1500,711.9999998,788.0000002,0.903553299
2016-08-01 16:49,249,1.12775,1.12775,1.12745,1.12745,1500,666,834,0.798561151
2016-08-01 16:56,221,1.12745,1.1286,1.12745,1.1284,1500,1105,395,2.797468354
2016-08-01 16:58,289,1.1284,1.12875,1.1282,1.1283,1500,878.9999999,621.0000001,1.415458937
2016-08-01 17:03,275,1.1283,1.1291,1.1283,1.1287,1500,901.0000001,598.9999999,1.504173623
2016-08-01 17:07,329,1.1287,1.1288,1.1282,1.12845,1500,587.0000001,912.9999999,0.642935378
2016-08-01 17:15,259,1.12845,1.1285,1.12795,1.128,1500,424.9999998,1075,0.395348837
2016-08-01 17:23,336,1.128,1.12875,1.12785,1.1287,1500,826.0000001,673.9999999,1.225519288
2016-08-01 17:31,375,1.1287,1.12895,1.1278,1.12795,1500,575.9999998,924.0000002,0.623376623
2016-08-01 17:37,369,1.12795,1.128,1.12745,1.1276,1500,587.9999999,912.0000001,0.644736842
2016-08-01 17:51,271,1.1276,1.1276,1.12705,1.1272,1500,595.9999998,904.0000002,0.659292035
2016-08-01 17:59,227,1.1272,1.12745,1.12695,1.1273,1500,544.0000001,955.9999999,0.569037657
2016-08-01 18:04,393,1.1273,1.12745,1.127,1.12705,1500,731.0000002,768.9999998,0.950585176
2016-08-01 18:21,354,1.12705,1.12825,1.127,1.1281,1500,975,525,1.857142857
2016-08-01 18:31,369,1.1281,1.1288,1.12795,1.1288,1500,916.9999999,583.0000001,1.572898799
2016-08-01 18:49,407,1.1288,1.12895,1.12845,1.12875,1500,769,731,1.051983584
2016-08-01 19:02,171,1.12875,1.1291,1.1287,1.12875,1500,605.0000002,894.9999998,0.675977654
2016-08-01 19:07,290,1.12875,1.12885,1.1281,1.1282,1500,359,1141,0.314636284
2016-08-01 19:18,213,1.1282,1.1284,1.12775,1.12815,1500,600.9999998,899.0000002,0.668520578
2016-08-01 19:24,358,1.12815,1.12865,1.12805,1.12855,1500,857,643,1.33281493
2016-08-01 19:38,334,1.12855,1.12935,1.12855,1.1291,1500,894.0000001,605.9999999,1.475247525
2016-08-01 19:48,320,1.1291,1.1294,1.12895,1.1292,1500,708,792,0.893939394
2016-08-01 19:59,271,1.1292,1.12995,1.1289,1.12985,1500,967,533,1.814258912
2016-08-01 20:05,315,1.12985,1.13,1.1297,1.13,1500,824.9999999,675.0000001,1.222222222
2016-08-01 20:10,212,1.13,1.1308,1.12995,1.1306,1500,1146,354,3.237288136
2016-08-01 20:12,277,1.1306,1.1311,1.13055,1.13105,1500,889.0000001,610.9999999,1.454991817
2016-08-01 20:14,300,1.13105,1.13145,1.13095,1.1313,1500,945.0000001,554.9999999,1.702702703
2016-08-01 20:17,341,1.1313,1.1314,1.13095,1.13095,1500,535,965,0.554404145
2016-08-01 20:23,381,1.13095,1.131,1.13055,1.13075,1500,591.0000003,908.9999997,0.650165017
2016-08-01 20:32,389,1.13075,1.13095,1.1306,1.1308,1500,811.0000001,688.9999999,1.177068215
2016-08-01 20:43,287,1.1308,1.1313,1.1307,1.13115,1500,926,574,1.613240418
2016-08-01 20:50,332,1.13115,1.1315,1.13115,1.13125,1500,662.9999998,837.0000002,0.792114695
2016-08-01 20:57,316,1.13125,1.13125,1.1308,1.131,1500,722.0000002,777.9999998,0.928020566
2016-08-01 21:05,259,1.131,1.13105,1.1307,1.1309,1500,632.9999999,867.0000001,0.730103806
2016-08-01 21:14,329,1.1309,1.1318,1.13085,1.13175,1500,880.0000001,619.9999999,1.419354839
2016-08-01 21:20,221,1.13175,1.1319,1.1316,1.1316,1500,613.0000001,886.9999999,0.691093574
2016-08-01 21:23,287,1.1316,1.1316,1.1309,1.13095,1500,582.9999998,917.0000002,0.635768811
2016-08-01 21:29,424,1.13095,1.1328,1.1308,1.1325,1500,833.9999999,666.0000001,1.252252252
2016-08-01 21:30,346,1.1325,1.13315,1.1322,1.1325,1500,832.9999999,667.0000001,1.248875562
2016-08-01 21:30,290,1.1325,1.13345,1.1325,1.13335,1500,835.0000001,664.9999999,1.255639098
2016-08-01 21:31,236,1.13335,1.13365,1.13315,1.1334,1500,815,685,1.189781022
2016-08-01 21:32,245,1.1334,1.13375,1.13305,1.13305,1500,686.0000001,813.9999999,0.842751843
2016-08-01 21:33,279,1.13305,1.13305,1.13155,1.13165,1500,358.0000001,1142,0.313485114
2016-08-01 21:34,348,1.13165,1.13205,1.1311,1.1319,1500,696.0000001,803.9999999,0.865671642
2016-08-01 21:35,250,1.1319,1.1319,1.13025,1.1305,1500,354.0000004,1146,0.308900524
2016-08-01 21:35,281,1.1305,1.13075,1.13,1.1302,1500,656.0000001,843.9999999,0.777251185
2016-08-01 21:36,364,1.1302,1.1306,1.1291,1.12915,1500,598.9999999,901.0000001,0.66481687
2016-08-01 21:37,309,1.12915,1.12975,1.12865,1.12965,1500,859.0000001,640.9999999,1.340093604
2016-08-01 21:38,290,1.12965,1.1302,1.12935,1.12945,1500,884,616,1.435064935
2016-08-01 21:39,235,1.12945,1.12955,1.12855,1.12855,1500,487.0000001,1013,0.480750247
2016-08-01 21:40,294,1.12855,1.12945,1.12855,1.1294,1500,871,629,1.384737679
2016-08-01 21:41,295,1.1294,1.1295,1.12825,1.12825,1500,573.9999998,926.0000002,0.61987041
2016-08-01 21:42,274,1.12825,1.12895,1.1281,1.12895,1500,829.0000001,670.9999999,1.235469449
2016-08-01 21:44,225,1.12895,1.12925,1.1283,1.12855,1500,794.9999998,705.0000002,1.127659574
2016-08-01 21:46,271,1.12855,1.1286,1.12775,1.1278,1500,647.9999999,852.0000001,0.76056338
2016-08-01 21:47,279,1.1278,1.12785,1.1276,1.1277,1500,677.9999999,822.0000001,0.824817518
2016-08-01 21:50,253,1.1277,1.1285,1.1277,1.1281,1500,938.9999999,561.0000001,1.673796791
2016-08-01 21:52,293,1.1281,1.12905,1.1281,1.129,1500,1030,470,2.191489362
2016-08-01 21:56,294,1.129,1.12975,1.12895,1.12965,1500,894.0000001,605.9999999,1.475247525
2016-08-01 22:01,299,1.12965,1.1303,1.12955,1.13,1500,756.9999999,743.0000001,1.01884253
2016-08-01 22:05,279,1.13,1.13,1.129,1.129,1500,414.0000003,1086,0.38121547
2016-08-01 22:09,284,1.129,1.12905,1.12775,1.1278,1500,315.0000002,1185,0.265822785
2016-08-01 22:14,317,1.1278,1.12825,1.12725,1.1275,1500,716.9999999,783.0000001,0.915708812
2016-08-01 22:16,350,1.1275,1.1279,1.12745,1.1279,1500,745.9999998,754.0000002,0.98938992
2016-08-01 22:19,251,1.1279,1.12795,1.12705,1.12705,1500,718.0000001,781.9999999,0.918158568
2016-08-01 22:20,363,1.12705,1.12745,1.127,1.12735,1500,895,605,1.479338843
2016-08-01 22:24,321,1.12735,1.1274,1.127,1.1271,1500,584.9999998,915.0000002,0.639344262
2016-08-01 22:29,233,1.1271,1.12715,1.1266,1.12675,1500,601.9999999,898.0000001,0.670378619
2016-08-01 22:30,304,1.12675,1.12755,1.1267,1.127,1500,765.9999999,734.0000001,1.04359673
2016-08-01 22:35,231,1.127,1.127,1.1261,1.1262,1500,614.9999999,885.0000001,0.694915254
2016-08-01 22:37,315,1.1262,1.12735,1.1262,1.1273,1500,984,516,1.906976744
2016-08-01 22:41,325,1.1273,1.128,1.1273,1.128,1500,960.9999999,539.0000001,1.782931354
2016-08-01 22:47,253,1.128,1.1282,1.1276,1.1276,1500,748,752,0.994680851
2016-08-01 22:51,282,1.1276,1.12795,1.12745,1.12775,1500,694.0000002,805.9999998,0.861042184
2016-08-01 22:57,343,1.12775,1.1288,1.12775,1.12865,1500,829.0000001,670.9999999,1.235469449
2016-08-01 23:01,298,1.12865,1.12945,1.1286,1.1294,1500,1017,483,2.105590062
2016-08-01 23:04,222,1.1294,1.1298,1.12905,1.1297,1500,820,680,1.205882353
2016-08-01 23:07,295,1.1297,1.1297,1.1291,1.1291,1500,661.0000001,838.9999999,0.78784267
2016-08-01 23:11,341,1.1291,1.1292,1.1285,1.1285,1500,532.9999999,967.0000001,0.551189245
2016-08-01 23:17,349,1.1285,1.12915,1.1283,1.12855,1500,572.9999998,927.0000002,0.618122977
2016-08-01 23:26,313,1.12855,1.1286,1.12765,1.128,1500,467.0000003,1033,0.452081317
2016-08-01 23:32,354,1.128,1.1281,1.12745,1.12805,1500,760.9999999,739.0000001,1.029769959
2016-08-01 23:43,278,1.12805,1.12825,1.12785,1.12815,1500,644.0000002,855.9999998,0.752336449
2016-08-01 23:49,349,1.12815,1.1282,1.12765,1.1277,1500,452.0000001,1048,0.43129771
2016-08-01 23:57,300,1.1277,1.1277,1.12725,1.12735,1500,662.0000002,837.9999998,0.789976134
2016-08-02 0:00,302,1.12735,1.128,1.12725,1.1278,1500,745,755,0.986754967
2016-08-02 0:04,267,1.1278,1.1279,1.1275,1.12775,1500,858,642,1.336448598
2016-08-02 0:10,255,1.12775,1.12885,1.1277,1.1288,1500,1002,498,2.012048193
2016-08-02 0:14,326,1.1288,1.1291,1.1286,1.1291,1500,667.9999998,832.0000002,0.802884615
2016-08-02 0:22,285,1.1291,1.1293,1.12885,1.129,1500,756.9999999,743.0000001,1.01884253
2016-08-02 0:30,300,1.129,1.1297,1.129,1.1297,1500,804.9999999,695.0000001,1.158273381
2016-08-02 0:38,326,1.1297,1.12985,1.1293,1.1294,1500,774.9999999,725.0000001,1.068965517
